central,fecha (mm-aaaa),caudal (m^3/s)
abanico,01-1960,4.29262000000001
abanico,02-1960,3.64634000000002
abanico,03-1960,3.30553500000004
abanico,04-1960,3.9988599999999503
abanico,05-1960,4.355499999999999
abanico,06-1960,5.379450000000029
abanico,07-1960,6.16157500000002
abanico,08-1960,4.06477000000003
abanico,09-1960,4.693725000000021
abanico,10-1960,4.69724999999998
abanico,11-1960,6.14462499999993
abanico,12-1960,5.726174999999991
abanico,01-1961,2.31443822580644
abanico,02-1961,2.08590535714284
abanico,03-1961,1.7671440322580398
abanico,04-1961,2.9199750000000106
abanico,05-1961,2.61995000000002
abanico,06-1961,3.4716000000000204
abanico,07-1961,2.87670999999999
abanico,08-1961,2.59568999999996
abanico,09-1961,2.8072199999999796
abanico,10-1961,2.64341999999998
abanico,11-1961,2.7377399999999796
abanico,12-1961,2.0064243548386997
abanico,01-1962,2.1
abanico,02-1962,2.2
abanico,03-1962,2.1000000000000005
abanico,04-1962,3.2
abanico,05-1962,2.2
abanico,06-1962,2.3
abanico,07-1962,2.1
abanico,08-1962,3.1
abanico,09-1962,2.9
abanico,10-1962,3.2
abanico,11-1962,2.7
abanico,12-1962,2.2
abanico,01-1963,3.8
abanico,02-1963,3.3
abanico,03-1963,2.9
abanico,04-1963,1.9
abanico,05-1963,1.8000000000000003
abanico,06-1963,2.2
abanico,07-1963,3.1000000000000005
abanico,08-1963,3.1
abanico,09-1963,3.1000000000000005
abanico,10-1963,3.7
abanico,11-1963,5.1
abanico,12-1963,4.7
abanico,01-1964,3.5
abanico,02-1964,3.0999999999999996
abanico,03-1964,2.7
abanico,04-1964,2.3
abanico,05-1964,2.2
abanico,06-1964,2.3
abanico,07-1964,2.4
abanico,08-1964,2.6
abanico,09-1964,3.0000000000000004
abanico,10-1964,3.7999999999999994
abanico,11-1964,3.9999999999999996
abanico,12-1964,3.8000000000000007
abanico,01-1965,4.8
abanico,02-1965,4.000000000000001
abanico,03-1965,3.4000000000000004
abanico,04-1965,3.6000000000000005
abanico,05-1965,4.3
abanico,06-1965,5.800000000000001
abanico,07-1965,5.1
abanico,08-1965,4.6
abanico,09-1965,4.2
abanico,10-1965,3.7
abanico,11-1965,6.5
abanico,12-1965,7.699999999999999
abanico,01-1966,6.000000000000001
abanico,02-1966,4.5
abanico,03-1966,3.7
abanico,04-1966,3.2
abanico,05-1966,3.8999999999999995
abanico,06-1966,3.8
abanico,07-1966,4.900000000000001
abanico,08-1966,3.5
abanico,09-1966,3.6
abanico,10-1966,4.5
abanico,11-1966,5.6
abanico,12-1966,7.4
abanico,01-1967,3.0
abanico,02-1967,2.8
abanico,03-1967,2.6
abanico,04-1967,3.0
abanico,05-1967,3.7
abanico,06-1967,3.5
abanico,07-1967,2.7
abanico,08-1967,3.8
abanico,09-1967,3.7000000000000006
abanico,10-1967,5.700000000000001
abanico,11-1967,5.6000000000000005
abanico,12-1967,4.8
abanico,01-1968,2.3000000000000003
abanico,02-1968,2.3000000000000003
abanico,03-1968,2.3999999999999995
abanico,04-1968,2.3999999999999995
abanico,05-1968,2.3
abanico,06-1968,2.4
abanico,07-1968,2.5
abanico,08-1968,2.8
abanico,09-1968,2.8
abanico,10-1968,3.0
abanico,11-1968,3.1
abanico,12-1968,2.8
abanico,01-1969,3.8000000000000003
abanico,02-1969,3.3
abanico,03-1969,3.0999999999999996
abanico,04-1969,2.6000000000000005
abanico,05-1969,4.0
abanico,06-1969,6.699999999999999
abanico,07-1969,4.8
abanico,08-1969,5.400000000000001
abanico,09-1969,5.500000000000001
abanico,10-1969,4.300000000000001
abanico,11-1969,6.5
abanico,12-1969,5.199999999999999
abanico,01-1970,3.500000000000001
abanico,02-1970,3.399999999999999
abanico,03-1970,4.0
abanico,04-1970,1.9
abanico,05-1970,2.7
abanico,06-1970,3.6
abanico,07-1970,3.0
abanico,08-1970,3.2000000000000006
abanico,09-1970,3.0
abanico,10-1970,3.7
abanico,11-1970,4.4
abanico,12-1970,4.4
abanico,01-1971,3.8999999999999995
abanico,02-1971,3.1000000000000005
abanico,03-1971,2.9000000000000004
abanico,04-1971,2.4000000000000004
abanico,05-1971,2.9
abanico,06-1971,3.2
abanico,07-1971,3.8999999999999995
abanico,08-1971,4.3
abanico,09-1971,3.4000000000000004
abanico,10-1971,4.4
abanico,11-1971,4.3
abanico,12-1971,3.8999999999999995
abanico,01-1972,4.0
abanico,02-1972,3.1000000000000005
abanico,03-1972,3.0
abanico,04-1972,3.3000000000000003
abanico,05-1972,6.1
abanico,06-1972,6.500000000000001
abanico,07-1972,5.1
abanico,08-1972,5.299999999999999
abanico,09-1972,5.1
abanico,10-1972,6.1
abanico,11-1972,6.800000000000001
abanico,12-1972,6.300000000000002
abanico,01-1973,3.3
abanico,02-1973,3.0
abanico,03-1973,2.7
abanico,04-1973,2.5
abanico,05-1973,3.5
abanico,06-1973,3.4
abanico,07-1973,3.7
abanico,08-1973,3.0
abanico,09-1973,3.0
abanico,10-1973,3.2999999999999994
abanico,11-1973,3.9
abanico,12-1973,2.8
abanico,01-1974,2.8
abanico,02-1974,3.0
abanico,03-1974,2.2
abanico,04-1974,2.1
abanico,05-1974,2.6
abanico,06-1974,3.5
abanico,07-1974,2.8
abanico,08-1974,2.9
abanico,09-1974,2.7999999999999994
abanico,10-1974,3.8999999999999995
abanico,11-1974,4.6
abanico,12-1974,4.1
abanico,01-1975,6.1
abanico,02-1975,5.499999999999999
abanico,03-1975,4.9
abanico,04-1975,2.6
abanico,05-1975,4.0
abanico,06-1975,4.9
abanico,07-1975,6.5
abanico,08-1975,5.4
abanico,09-1975,4.7
abanico,10-1975,5.6
abanico,11-1975,7.3
abanico,12-1975,7.300000000000001
abanico,01-1976,4.2
abanico,02-1976,3.9
abanico,03-1976,3.6000000000000005
abanico,04-1976,4.0
abanico,05-1976,3.9999999999999996
abanico,06-1976,4.800000000000001
abanico,07-1976,3.900000000000001
abanico,08-1976,3.100000000000001
abanico,09-1976,3.0
abanico,10-1976,4.700000000000001
abanico,11-1976,5.6
abanico,12-1976,5.099999999999999
abanico,01-1977,7.799999999999999
abanico,02-1977,7.200000000000001
abanico,03-1977,6.7
abanico,04-1977,3.8
abanico,05-1977,5.700000000000001
abanico,06-1977,6.0
abanico,07-1977,6.5
abanico,08-1977,5.6
abanico,09-1977,6.4
abanico,10-1977,7.500000000000001
abanico,11-1977,9.3
abanico,12-1977,9.6
abanico,01-1978,8.399999999999999
abanico,02-1978,7.700000000000001
abanico,03-1978,7.0
abanico,04-1978,5.6
abanico,05-1978,6.5
abanico,06-1978,7.200000000000001
abanico,07-1978,11.3
abanico,08-1978,8.100000000000001
abanico,09-1978,8.8
abanico,10-1978,9.8
abanico,11-1978,10.7
abanico,12-1978,9.0
abanico,01-1979,7.200000000000001
abanico,02-1979,7.699999999999999
abanico,03-1979,7.5
abanico,04-1979,5.9
abanico,05-1979,5.8
abanico,06-1979,5.4
abanico,07-1979,6.3999999999999995
abanico,08-1979,9.7
abanico,09-1979,9.0
abanico,10-1979,7.700000000000001
abanico,11-1979,7.9
abanico,12-1979,8.400000000000002
abanico,01-1980,7.300000000000002
abanico,02-1980,7.4
abanico,03-1980,7.500000000000001
abanico,04-1980,8.0
abanico,05-1980,10.399999999999999
abanico,06-1980,11.5
abanico,07-1980,9.900000000000002
abanico,08-1980,8.8
abanico,09-1980,7.8999999999999995
abanico,10-1980,7.2
abanico,11-1980,7.9
abanico,12-1980,7.499999999999999
abanico,01-1981,4.20400000000002
abanico,02-1981,3.64550000000004
abanico,03-1981,3.0730000000000204
abanico,04-1981,4.46300000000001
abanico,05-1981,10.13299999999996
abanico,06-1981,8.0375
abanico,07-1981,6.74400000000001
abanico,08-1981,5.823999999999979
abanico,09-1981,4.286999999999989
abanico,10-1981,4.544000000000011
abanico,11-1981,4.18000000000004
abanico,12-1981,3.3429999999999995
abanico,01-1982,8.24599999999998
abanico,02-1982,7.8569999999999895
abanico,03-1982,6.518500000000021
abanico,04-1982,3.1720000000000295
abanico,05-1982,4.839999999999989
abanico,06-1982,7.96399999999997
abanico,07-1982,8.47599999999996
abanico,08-1982,6.815999999999999
abanico,09-1982,6.33600000000003
abanico,10-1982,7.23300000000004
abanico,11-1982,7.9709999999999805
abanico,12-1982,8.99349999999995
abanico,01-1983,2.925
abanico,02-1983,2.534
abanico,03-1983,2.46200000000006
abanico,04-1983,5.781000000000031
abanico,05-1983,4.62900000000002
abanico,06-1983,7.211000000000028
abanico,07-1983,5.36600000000001
abanico,08-1983,3.3959999999999795
abanico,09-1983,2.55750000000001
abanico,10-1983,2.9835000000000607
abanico,11-1983,3.918
abanico,12-1983,2.541
abanico,01-1984,4.75550000000001
abanico,02-1984,3.9380000000000104
abanico,03-1984,3.9989999999999704
abanico,04-1984,2.04200000000004
abanico,05-1984,3.7840000000000105
abanico,06-1984,3.19500000000002
abanico,07-1984,5.90400000000003
abanico,08-1984,2.8699999999999606
abanico,09-1984,4.306
abanico,10-1984,5.83199999999999
abanico,11-1984,7.296999999999931
abanico,12-1984,6.67599999999995
abanico,01-1985,3.9669999999999597
abanico,02-1985,4.922999999999961
abanico,03-1985,4.551999999999999
abanico,04-1985,3.7899999999999907
abanico,05-1985,4.97600000000002
abanico,06-1985,5.6040000000000205
abanico,07-1985,6.64200000000004
abanico,08-1985,3.919000000000051
abanico,09-1985,4.11300000000001
abanico,10-1985,4.60700000000002
abanico,11-1985,4.914000000000041
abanico,12-1985,3.9160000000000106
abanico,01-1986,4.28299999999997
abanico,02-1986,3.8684999999999503
abanico,03-1986,3.4379999999999504
abanico,04-1986,3.01199999999999
abanico,05-1986,6.348000000000001
abanico,06-1986,10.27200000000003
abanico,07-1986,6.548999999999979
abanico,08-1986,6.84499999999996
abanico,09-1986,4.90799999999997
abanico,10-1986,5.46499999999999
abanico,11-1986,4.719499999999991
abanico,12-1986,5.53999999999999
abanico,01-1987,3.8920000000000305
abanico,02-1987,3.76000000000005
abanico,03-1987,3.1260000000000203
abanico,04-1987,2.9339999999999895
abanico,05-1987,2.69400000000001
abanico,06-1987,5.03249999999997
abanico,07-1987,5.66799999999999
abanico,08-1987,5.719999999999981
abanico,09-1987,5.75399999999999
abanico,10-1987,7.53900000000003
abanico,11-1987,6.16300000000001
abanico,12-1987,4.0630000000000095
abanico,01-1988,2.87999999999997
abanico,02-1988,2.806
abanico,03-1988,2.37000000000003
abanico,04-1988,2.5300000000000202
abanico,05-1988,2.96500000000002
abanico,06-1988,3.87599999999998
abanico,07-1988,4.15599999999999
abanico,08-1988,5.09400000000001
abanico,09-1988,3.86799999999998
abanico,10-1988,4.57399999999998
abanico,11-1988,5.748000000000009
abanico,12-1988,4.1735
abanico,01-1989,2.9839999999999667
abanico,02-1989,2.75699999999998
abanico,03-1989,2.622500000000013
abanico,04-1989,1.840000000000007
abanico,05-1989,1.7694999999999796
abanico,06-1989,2.6000000000000005
abanico,07-1989,2.770000000000028
abanico,08-1989,3.2059999999999915
