caso,descripcion,V0,success_rate,avg_total_energy,avg_annual_energy,avg_toro_usage,avg_final_volume,std_final_volume,tiempo_colchon_inferior_%,tiempo_colchon_superior_%,uso_presupuesto_riego_%,uso_presupuesto_generacion_%,deficit_max_1r_hm3,deficit_max_2r_hm3,deficit_prom_1r_hm3,deficit_prom_2r_hm3,factor_utilizacion_%,cota_promedio_msnm,eficiencia_energetica_mwh_hm3,tiempo_colchones_%,uso_presupuestos_%,deficit_max_hm3,deficit_prom_hm3,deficit_sum_hm3,deficit_pct,uso_real_agua_hm3,energia_total_mwh,cota_mensual,dependencia_lago_m3s,num_kpis,num_total
V0_minimo,Volumen inicial mínimo evaluado,1100.000,100.000,9676.195,4838.098,434.016,1249.017,110.131,6.250,29.167,249.790,21222.416,65.177,48.838,31.036,1.966,{'sistema': 0.0},1329.922,0.294,"{'Inferior': 6.249999999999999, 'Transicion': 6.249999999999999, 'Intermedio': 58.333333333333336, 'Superior': 29.166666666666668}","{'riego': 249.789997674875, 'generacion': 21222.41571440688}","{'1R': 65.17650576419393, '2R': 48.83836060559807}","{'1R': 31.036467160844648, '2R': 1.966169897783539}","{'1R': 1489.750423720543, '2R': 94.37615509360987}","{'1R': 19.95657610651019, '2R': 2.8155392563144237}","{'riego': 1494.497976672991, 'generacion': 14982.48283305332, 'total': 16476.980809726312}",4838.098,"{12: 1321.7196584354858, 1: 1324.0025852610158, 2: 1326.8721620216563, 3: 1329.2762024260132, 4: 1329.8263644411059, 5: 1330.6596370576106, 6: 1331.9591797501212, 7: 1333.3259169197045, 8: 1333.565086623633, 9: 1333.1787401887582, 10: 1332.4944524063255, 11: 1332.1855976988686}","{12: 25.189118502621234, 1: 21.828080332232158, 2: 20.655578776313014, 3: 19.635471281931107, 4: 16.777605859850755, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 15.489616280881835, 10: 14.648621122071273, 11: 18.56589422663649}",4,4
V0_maximo,Volumen inicial máximo evaluado,3000.000,100.000,16435.684,8217.842,2536.287,3091.792,222.880,0.000,95.833,231.225,1014.180,47.723,88.954,22.688,5.641,{'sistema': 0.0},1339.471,0.383,"{'Inferior': 0.0, 'Transicion': 0.0, 'Intermedio': 4.166666666666666, 'Superior': 95.83333333333334}","{'riego': 231.22504056059785, 'generacion': 1014.1799357798442}","{'1R': 47.72344445823312, '2R': 88.95381556615781}","{'1R': 22.688488874274764, '2R': 5.641223586183251}","{'1R': 1089.0474659651886, '2R': 270.77873213679607}","{'1R': 14.588791714425644, '2R': 8.078186162066036}","{'riego': 1731.2628517680257, 'generacion': 19743.078043979607, 'total': 21474.34089574763}",8217.842,"{12: 1343.8030038004104, 1: 1342.3489442937855, 2: 1342.1127872929924, 3: 1341.2887530541598, 4: 1341.3236261080026, 5: 1340.7734777468754, 6: 1340.5801407137699, 7: 1338.6501890937534, 8: 1336.6538912773874, 9: 1335.7988591940232, 10: 1335.62766319199, 11: 1334.6919438425518}","{12: 11.701235582965818, 1: 27.62400883085974, 2: 13.381549544938107, 3: 12.724854187561629, 4: 11.374277414896374, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 17.602330681971303, 10: 21.752656622134527, 11: 14.995163340496653}",4,4
maxima_energia,Configuración óptima para generación energética,3000.000,100.000,16435.684,8217.842,2536.287,3091.792,222.880,0.000,95.833,231.225,1014.180,47.723,88.954,22.688,5.641,{'sistema': 0.0},1339.471,0.383,"{'Inferior': 0.0, 'Transicion': 0.0, 'Intermedio': 4.166666666666666, 'Superior': 95.83333333333334}","{'riego': 231.22504056059785, 'generacion': 1014.1799357798442}","{'1R': 47.72344445823312, '2R': 88.95381556615781}","{'1R': 22.688488874274764, '2R': 5.641223586183251}","{'1R': 1089.0474659651886, '2R': 270.77873213679607}","{'1R': 14.588791714425644, '2R': 8.078186162066036}","{'riego': 1731.2628517680257, 'generacion': 19743.078043979607, 'total': 21474.34089574763}",8217.842,"{12: 1343.8030038004104, 1: 1342.3489442937855, 2: 1342.1127872929924, 3: 1341.2887530541598, 4: 1341.3236261080026, 5: 1340.7734777468754, 6: 1340.5801407137699, 7: 1338.6501890937534, 8: 1336.6538912773874, 9: 1335.7988591940232, 10: 1335.62766319199, 11: 1334.6919438425518}","{12: 11.701235582965818, 1: 27.62400883085974, 2: 13.381549544938107, 3: 12.724854187561629, 4: 11.374277414896374, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 17.602330681971303, 10: 21.752656622134527, 11: 14.995163340496653}",4,4
minima_energia,Peor desempeño energético (con éxito),1100.000,100.000,9676.195,4838.098,434.016,1249.017,110.131,6.250,29.167,249.790,21222.416,65.177,48.838,31.036,1.966,{'sistema': 0.0},1329.922,0.294,"{'Inferior': 6.249999999999999, 'Transicion': 6.249999999999999, 'Intermedio': 58.333333333333336, 'Superior': 29.166666666666668}","{'riego': 249.789997674875, 'generacion': 21222.41571440688}","{'1R': 65.17650576419393, '2R': 48.83836060559807}","{'1R': 31.036467160844648, '2R': 1.966169897783539}","{'1R': 1489.750423720543, '2R': 94.37615509360987}","{'1R': 19.95657610651019, '2R': 2.8155392563144237}","{'riego': 1494.497976672991, 'generacion': 14982.48283305332, 'total': 16476.980809726312}",4838.098,"{12: 1321.7196584354858, 1: 1324.0025852610158, 2: 1326.8721620216563, 3: 1329.2762024260132, 4: 1329.8263644411059, 5: 1330.6596370576106, 6: 1331.9591797501212, 7: 1333.3259169197045, 8: 1333.565086623633, 9: 1333.1787401887582, 10: 1332.4944524063255, 11: 1332.1855976988686}","{12: 25.189118502621234, 1: 21.828080332232158, 2: 20.655578776313014, 3: 19.635471281931107, 4: 16.777605859850755, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 15.489616280881835, 10: 14.648621122071273, 11: 18.56589422663649}",4,4
mayor_deficit_1R,Peor escenario para primeros regantes,1100.000,100.000,9676.195,4838.098,434.016,1249.017,110.131,6.250,29.167,249.790,21222.416,65.177,48.838,31.036,1.966,{'sistema': 0.0},1329.922,0.294,"{'Inferior': 6.249999999999999, 'Transicion': 6.249999999999999, 'Intermedio': 58.333333333333336, 'Superior': 29.166666666666668}","{'riego': 249.789997674875, 'generacion': 21222.41571440688}","{'1R': 65.17650576419393, '2R': 48.83836060559807}","{'1R': 31.036467160844648, '2R': 1.966169897783539}","{'1R': 1489.750423720543, '2R': 94.37615509360987}","{'1R': 19.95657610651019, '2R': 2.8155392563144237}","{'riego': 1494.497976672991, 'generacion': 14982.48283305332, 'total': 16476.980809726312}",4838.098,"{12: 1321.7196584354858, 1: 1324.0025852610158, 2: 1326.8721620216563, 3: 1329.2762024260132, 4: 1329.8263644411059, 5: 1330.6596370576106, 6: 1331.9591797501212, 7: 1333.3259169197045, 8: 1333.565086623633, 9: 1333.1787401887582, 10: 1332.4944524063255, 11: 1332.1855976988686}","{12: 25.189118502621234, 1: 21.828080332232158, 2: 20.655578776313014, 3: 19.635471281931107, 4: 16.777605859850755, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 15.489616280881835, 10: 14.648621122071273, 11: 18.56589422663649}",4,4
mayor_deficit_2R,Peor escenario para segundos regantes,3000.000,100.000,16435.684,8217.842,2536.287,3091.792,222.880,0.000,95.833,231.225,1014.180,47.723,88.954,22.688,5.641,{'sistema': 0.0},1339.471,0.383,"{'Inferior': 0.0, 'Transicion': 0.0, 'Intermedio': 4.166666666666666, 'Superior': 95.83333333333334}","{'riego': 231.22504056059785, 'generacion': 1014.1799357798442}","{'1R': 47.72344445823312, '2R': 88.95381556615781}","{'1R': 22.688488874274764, '2R': 5.641223586183251}","{'1R': 1089.0474659651886, '2R': 270.77873213679607}","{'1R': 14.588791714425644, '2R': 8.078186162066036}","{'riego': 1731.2628517680257, 'generacion': 19743.078043979607, 'total': 21474.34089574763}",8217.842,"{12: 1343.8030038004104, 1: 1342.3489442937855, 2: 1342.1127872929924, 3: 1341.2887530541598, 4: 1341.3236261080026, 5: 1340.7734777468754, 6: 1340.5801407137699, 7: 1338.6501890937534, 8: 1336.6538912773874, 9: 1335.7988591940232, 10: 1335.62766319199, 11: 1334.6919438425518}","{12: 11.701235582965818, 1: 27.62400883085974, 2: 13.381549544938107, 3: 12.724854187561629, 4: 11.374277414896374, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 17.602330681971303, 10: 21.752656622134527, 11: 14.995163340496653}",4,4
mayor_riesgo_operativo,Máximo tiempo en colchón inferior,1100.000,100.000,9676.195,4838.098,434.016,1249.017,110.131,6.250,29.167,249.790,21222.416,65.177,48.838,31.036,1.966,{'sistema': 0.0},1329.922,0.294,"{'Inferior': 6.249999999999999, 'Transicion': 6.249999999999999, 'Intermedio': 58.333333333333336, 'Superior': 29.166666666666668}","{'riego': 249.789997674875, 'generacion': 21222.41571440688}","{'1R': 65.17650576419393, '2R': 48.83836060559807}","{'1R': 31.036467160844648, '2R': 1.966169897783539}","{'1R': 1489.750423720543, '2R': 94.37615509360987}","{'1R': 19.95657610651019, '2R': 2.8155392563144237}","{'riego': 1494.497976672991, 'generacion': 14982.48283305332, 'total': 16476.980809726312}",4838.098,"{12: 1321.7196584354858, 1: 1324.0025852610158, 2: 1326.8721620216563, 3: 1329.2762024260132, 4: 1329.8263644411059, 5: 1330.6596370576106, 6: 1331.9591797501212, 7: 1333.3259169197045, 8: 1333.565086623633, 9: 1333.1787401887582, 10: 1332.4944524063255, 11: 1332.1855976988686}","{12: 25.189118502621234, 1: 21.828080332232158, 2: 20.655578776313014, 3: 19.635471281931107, 4: 16.777605859850755, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 15.489616280881835, 10: 14.648621122071273, 11: 18.56589422663649}",4,4
menor_riesgo_operativo,Mínimo tiempo en colchón inferior,3000.000,100.000,16435.684,8217.842,2536.287,3091.792,222.880,0.000,95.833,231.225,1014.180,47.723,88.954,22.688,5.641,{'sistema': 0.0},1339.471,0.383,"{'Inferior': 0.0, 'Transicion': 0.0, 'Intermedio': 4.166666666666666, 'Superior': 95.83333333333334}","{'riego': 231.22504056059785, 'generacion': 1014.1799357798442}","{'1R': 47.72344445823312, '2R': 88.95381556615781}","{'1R': 22.688488874274764, '2R': 5.641223586183251}","{'1R': 1089.0474659651886, '2R': 270.77873213679607}","{'1R': 14.588791714425644, '2R': 8.078186162066036}","{'riego': 1731.2628517680257, 'generacion': 19743.078043979607, 'total': 21474.34089574763}",8217.842,"{12: 1343.8030038004104, 1: 1342.3489442937855, 2: 1342.1127872929924, 3: 1341.2887530541598, 4: 1341.3236261080026, 5: 1340.7734777468754, 6: 1340.5801407137699, 7: 1338.6501890937534, 8: 1336.6538912773874, 9: 1335.7988591940232, 10: 1335.62766319199, 11: 1334.6919438425518}","{12: 11.701235582965818, 1: 27.62400883085974, 2: 13.381549544938107, 3: 12.724854187561629, 4: 11.374277414896374, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 17.602330681971303, 10: 21.752656622134527, 11: 14.995163340496653}",4,4
maxima_eficiencia,Mejor relación energía/agua,3000.000,100.000,16435.684,8217.842,2536.287,3091.792,222.880,0.000,95.833,231.225,1014.180,47.723,88.954,22.688,5.641,{'sistema': 0.0},1339.471,0.383,"{'Inferior': 0.0, 'Transicion': 0.0, 'Intermedio': 4.166666666666666, 'Superior': 95.83333333333334}","{'riego': 231.22504056059785, 'generacion': 1014.1799357798442}","{'1R': 47.72344445823312, '2R': 88.95381556615781}","{'1R': 22.688488874274764, '2R': 5.641223586183251}","{'1R': 1089.0474659651886, '2R': 270.77873213679607}","{'1R': 14.588791714425644, '2R': 8.078186162066036}","{'riego': 1731.2628517680257, 'generacion': 19743.078043979607, 'total': 21474.34089574763}",8217.842,"{12: 1343.8030038004104, 1: 1342.3489442937855, 2: 1342.1127872929924, 3: 1341.2887530541598, 4: 1341.3236261080026, 5: 1340.7734777468754, 6: 1340.5801407137699, 7: 1338.6501890937534, 8: 1336.6538912773874, 9: 1335.7988591940232, 10: 1335.62766319199, 11: 1334.6919438425518}","{12: 11.701235582965818, 1: 27.62400883085974, 2: 13.381549544938107, 3: 12.724854187561629, 4: 11.374277414896374, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 17.602330681971303, 10: 21.752656622134527, 11: 14.995163340496653}",4,4
mejor_exito,Mayor probabilidad de operación exitosa,1100.000,100.000,9676.195,4838.098,434.016,1249.017,110.131,6.250,29.167,249.790,21222.416,65.177,48.838,31.036,1.966,{'sistema': 0.0},1329.922,0.294,"{'Inferior': 6.249999999999999, 'Transicion': 6.249999999999999, 'Intermedio': 58.333333333333336, 'Superior': 29.166666666666668}","{'riego': 249.789997674875, 'generacion': 21222.41571440688}","{'1R': 65.17650576419393, '2R': 48.83836060559807}","{'1R': 31.036467160844648, '2R': 1.966169897783539}","{'1R': 1489.750423720543, '2R': 94.37615509360987}","{'1R': 19.95657610651019, '2R': 2.8155392563144237}","{'riego': 1494.497976672991, 'generacion': 14982.48283305332, 'total': 16476.980809726312}",4838.098,"{12: 1321.7196584354858, 1: 1324.0025852610158, 2: 1326.8721620216563, 3: 1329.2762024260132, 4: 1329.8263644411059, 5: 1330.6596370576106, 6: 1331.9591797501212, 7: 1333.3259169197045, 8: 1333.565086623633, 9: 1333.1787401887582, 10: 1332.4944524063255, 11: 1332.1855976988686}","{12: 25.189118502621234, 1: 21.828080332232158, 2: 20.655578776313014, 3: 19.635471281931107, 4: 16.777605859850755, 5: 0.0, 6: 0.0, 7: 0.0, 8: 0.0, 9: 15.489616280881835, 10: 14.648621122071273, 11: 18.56589422663649}",4,4
