mes,volumen_Hm3,cota_msnm,release_m3s,release_Hm3,release_excl_filtr_m3s,release_excl_filtr_Hm3
1,2622.9176635522995,1339.115681594307,121.20904955543988,314.1738564477002,91.10000000000177,236.1312000000046
2,2329.039167104604,1335.6619989770209,121.2090495554381,314.1738564476956,91.1,236.1312
3,2029.561950656909,1332.0000111770853,121.2090495554381,314.1738564476956,91.1,236.1312
4,1724.4860142092134,1328.1046905145156,121.2090495554381,314.1738564476956,91.1,236.1312
5,1701.5208942092136,1327.8038281661566,40.89999999999995,106.01279999999987,17.188395554322,44.55232127680262
6,1654.3983342092138,1327.1836529024615,40.4999999999999,104.97599999999974,16.78839555432195,43.5155212768025
7,1499.9110399999993,1325.1190830174137,70.67157955602414,183.1807342092146,46.959975110346186,121.72025548601732
8,1442.6796799999997,1324.3386922138093,41.69999999999982,108.08639999999953,17.98839555432187,46.62592127680229
9,1370.0,1323.3374302725542,41.89999999999995,108.60479999999987,18.188395554322,47.14432127680262
10,1305.9776000000002,1322.4440351317483,40.89999999999991,106.01279999999979,18.52453579201238,48.01559677289609
11,1270.3635200000008,1321.9434825642359,40.199999999999775,104.19839999999942,17.82453579201224,46.201196772895734
12,1200.0,1320.9385654590003,54.68641975308669,141.7472000000007,32.310955545099155,83.749996772897
