i,j,mes,caudal_m3s,vol_Hm3,energia_MWh
afluente_Embalse,Embalse,1,31.539688,81.750871,0.000000
afluente_Embalse,Embalse,2,21.582723,55.942418,0.000000
afluente_Embalse,Embalse,3,15.005350,38.893868,0.000000
afluente_Embalse,Embalse,4,14.049101,36.415269,0.000000
afluente_Embalse,Embalse,5,18.123715,46.976670,0.000000
afluente_Embalse,Embalse,6,63.504587,164.603889,0.000000
afluente_Embalse,Embalse,7,63.337435,164.170632,0.000000
afluente_Embalse,Embalse,8,94.709404,245.486774,0.000000
afluente_Embalse,Embalse,9,91.587876,237.395774,0.000000
afluente_Embalse,Embalse,10,95.721680,248.110595,0.000000
afluente_Embalse,Embalse,11,95.207930,246.778954,0.000000
afluente_Embalse,Embalse,12,51.073761,132.383188,0.000000
afluente_Abanico,control_Abanico,1,4.901949,12.705852,0.000000
afluente_Abanico,control_Abanico,2,3.670216,9.513199,0.000000
afluente_Abanico,control_Abanico,3,2.263650,5.867381,0.000000
afluente_Abanico,control_Abanico,4,1.775999,4.603389,0.000000
afluente_Abanico,control_Abanico,5,2.177325,5.643626,0.000000
afluente_Abanico,control_Abanico,6,4.318543,11.193663,0.000000
afluente_Abanico,control_Abanico,7,4.763930,12.348107,0.000000
afluente_Abanico,control_Abanico,8,6.534010,16.936153,0.000000
afluente_Abanico,control_Abanico,9,6.615044,17.146194,0.000000
afluente_Abanico,control_Abanico,10,5.985957,15.515599,0.000000
afluente_Abanico,control_Abanico,11,7.593642,19.682720,0.000000
afluente_Abanico,control_Abanico,12,6.328655,16.403873,0.000000
afluente_Antuco,control_Antuco,1,37.063604,96.068862,0.000000
afluente_Antuco,control_Antuco,2,35.518445,92.063810,0.000000
afluente_Antuco,control_Antuco,3,32.919424,85.327148,0.000000
afluente_Antuco,control_Antuco,4,33.849680,87.738371,0.000000
afluente_Antuco,control_Antuco,5,30.768503,79.751960,0.000000
afluente_Antuco,control_Antuco,6,32.247775,83.586233,0.000000
afluente_Antuco,control_Antuco,7,32.641843,84.607657,0.000000
afluente_Antuco,control_Antuco,8,32.927830,85.348935,0.000000
afluente_Antuco,control_Antuco,9,34.882353,90.415060,0.000000
afluente_Antuco,control_Antuco,10,35.880219,93.001529,0.000000
afluente_Antuco,control_Antuco,11,38.690367,100.285431,0.000000
afluente_Antuco,control_Antuco,12,38.785048,100.530845,0.000000
afluente_Canecol,control_Canecol,1,2.655914,6.884129,0.000000
afluente_Canecol,control_Canecol,2,1.566379,4.060055,0.000000
afluente_Canecol,control_Canecol,3,1.139032,2.952372,0.000000
afluente_Canecol,control_Canecol,4,0.879000,2.278368,0.000000
afluente_Canecol,control_Canecol,5,1.002581,2.598689,0.000000
afluente_Canecol,control_Canecol,6,35.714875,92.572956,0.000000
afluente_Canecol,control_Canecol,7,23.307177,60.412204,0.000000
afluente_Canecol,control_Canecol,8,53.902903,139.716325,0.000000
afluente_Canecol,control_Canecol,9,24.115153,62.506476,0.000000
afluente_Canecol,control_Canecol,10,24.119677,62.518204,0.000000
afluente_Canecol,control_Canecol,11,12.385000,32.101920,0.000000
afluente_Canecol,control_Canecol,12,4.930981,12.781103,0.000000
afluente_Tucapel,control_Tucapel,1,4.004071,10.378552,0.000000
afluente_Tucapel,control_Tucapel,2,0.000000,0.000000,0.000000
afluente_Tucapel,control_Tucapel,3,0.000000,0.000000,0.000000
afluente_Tucapel,control_Tucapel,4,0.000000,0.000000,0.000000
afluente_Tucapel,control_Tucapel,5,0.000000,0.000000,0.000000
afluente_Tucapel,control_Tucapel,6,37.790492,97.952956,0.000000
afluente_Tucapel,control_Tucapel,7,81.071633,210.137672,0.000000
afluente_Tucapel,control_Tucapel,8,194.454296,504.025534,0.000000
afluente_Tucapel,control_Tucapel,9,125.493319,325.278684,0.000000
afluente_Tucapel,control_Tucapel,10,98.117392,254.320280,0.000000
afluente_Tucapel,control_Tucapel,11,70.973655,183.963713,0.000000
afluente_Tucapel,control_Tucapel,12,21.069126,54.611176,0.000000
afluente_Laja_I,control_Laja_I,1,8.070000,20.917440,0.000000
afluente_Laja_I,control_Laja_I,2,8.710000,22.576320,0.000000
afluente_Laja_I,control_Laja_I,3,11.250000,29.160000,0.000000
afluente_Laja_I,control_Laja_I,4,8.680000,22.498560,0.000000
afluente_Laja_I,control_Laja_I,5,21.450000,55.598400,0.000000
afluente_Laja_I,control_Laja_I,6,11.810000,30.611520,0.000000
afluente_Laja_I,control_Laja_I,7,14.080000,36.495360,0.000000
afluente_Laja_I,control_Laja_I,8,9.660000,25.038720,0.000000
afluente_Laja_I,control_Laja_I,9,2.420000,6.272640,0.000000
afluente_Laja_I,control_Laja_I,10,1.000000,2.592000,0.000000
afluente_Laja_I,control_Laja_I,11,2.080000,5.391360,0.000000
afluente_Laja_I,control_Laja_I,12,7.270000,18.843840,0.000000
Embalse,ElToro,1,0.000000,0.000000,0.000000
Embalse,ElToro,2,0.000000,0.000000,0.000000
Embalse,ElToro,3,7.516633,19.483113,36.079838
Embalse,ElToro,4,0.000000,0.000000,0.000000
Embalse,ElToro,5,0.000000,0.000000,0.000000
Embalse,ElToro,6,0.000000,0.000000,0.000000
Embalse,ElToro,7,0.000000,0.000000,0.000000
